Loads;Active Power;Reactive Power
C 2-19 BT ind;0.0528;0.0354222
C 2-20 BT agr;0.0570;0.0383210
C 2-21 BT agr;0.0572 ;0.0385852
C 2-23 MT ill;0.2321;0.1110559
C 2-24 BT agr;0.0543;0.0366918
C 2-25 BT ind;0.0404;0.0274218
C 2-26 MT ter;0.0883 ;0.0442469
C 2-27.1 BT res;0.1685 ;0.1128906
C 2-27.2 MT agr;0.3021; 0.1470421
C 2-27.3 BT agr;0.1048 ;0.0704947
C 2-28 BT ter;0.0270 ;0.0197459
C 2-29 MT ind;0.0434 ;0.0220095
C 2-30 BT ind;0.0541 ;0.0378280
C 2-31 BT agr;0.0467 ;0.0319818
C 2-32.1 BT res;0.0910; 0.0630751
C 2-32.2 MT agr;0.2807 ;0.1388702
