Load Name;Active Power;Reactive Power
C 2-19 BT ind;0.1894;0.1265088
C 2-20 BT agr;0.1147;0.0774413
C 2-21 BT agr;0.1155 ;0.0782289
C 2-23 MT ill;0;0
C 2-24 BT agr;0.1094;0.0741473
C 2-25 BT ind;0.1450;0.0984401
C 2-26 MT ter;0.3993;0.2049369
C 2-27.1 BT res;0.2471;0.1656134
C 2-27.2 MT agr;0.6083;0.2971269
C 2-27.3 BT agr;0.2094;0.1407233
C 2-28 BT ter;0.1205;0.08741
C 2-29 MT ind;0.1561;0.0798601
C 2-30 BT ind;0.1934;0.1347733
C 2-31 BT agr;0.0934;0.0640347
C 2-32.1 BT res;0.1333;0.0923274
C 2-32.2 MT agr;0.5634;0.2791258
