Loads;Active Power;Reactive Power
C 2-19 BT ind;0.063739;0.04289173
C 2-20 BT agr;0.153274;0.1027773
C 2-21 BT agr;0.153287;0.1027909
C 2-23 MT ill;0.182994;0.08827465
C 2-24 BT agr;0.143659;0.0958174
C 2-25 BT ind;48166;0.03204506
C 2-26 MT ter;0.388592;0.1829258
C 2-27.1 BT res;0.285200;0.1853766
C 2-27.2 MT agr;0.799597;0.384729
C 2-27.3 BT agr;0.273508;0.1805081
C 2-28 BT ter;0.118186;0.08054955
C 2-29 MT ind;0.051826;0.02596448
C 2-30 BT ind;0.064483;0.04441056
C 2-31 BT agr;0.123344;0.08350521
C 2-32.1 BT res;0.155504;0.1052517
C 2-32.2 MT agr;0.745457;0.3650585
