All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
-0.100000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.090000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.080000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.070000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.060000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.050000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.040000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.030000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.020000;0.172600;0.086400;1.004971;1.000000;1.021782
-0.010000;0.172600;0.086400;1.004971;1.000000;1.021782
0.000000;0.172600;0.086400;1.004971;1.000000;1.021782
0.005000;0.172175;0.172375;1.004161;0.998873;1.020525
0.011667;0.172175;0.172375;1.004161;0.998873;1.020524
0.021667;0.172175;0.172375;1.004161;0.998873;1.020524
0.031667;0.172175;0.172375;1.004161;0.998873;1.020524
0.041667;0.172175;0.172375;1.004161;0.998873;1.020524
0.051667;0.172175;0.172375;1.004161;0.998873;1.020524
0.061667;0.172175;0.172375;1.004161;0.998873;1.020524
0.071667;0.172175;0.172375;1.004161;0.998873;1.020524
0.081667;0.172175;0.172375;1.004161;0.998873;1.020524
0.091667;0.172175;0.172375;1.004161;0.998873;1.020524
0.101667;0.172175;0.172375;1.004161;0.998873;1.020524
0.111667;0.172175;0.172375;1.004161;0.998873;1.020524
0.121667;0.172175;0.172375;1.004161;0.998873;1.020524
0.131667;0.172175;0.172375;1.004161;0.998873;1.020524
0.141667;0.172175;0.172375;1.004161;0.998873;1.020524
0.151667;0.172175;0.172375;1.004161;0.998873;1.020524
0.161667;0.172175;0.172375;1.004161;0.998873;1.020524
0.171667;0.172175;0.172375;1.004161;0.998873;1.020524
0.181667;0.172175;0.172375;1.004161;0.998873;1.020524
0.191667;0.172175;0.172375;1.004161;0.998873;1.020524
0.201667;0.172175;0.172375;1.004161;0.998873;1.020524
0.211667;0.172175;0.172375;1.004161;0.998873;1.020524
0.221667;0.172175;0.172375;1.004161;0.998873;1.020524
0.230000;0.172175;0.172375;1.004161;0.998873;1.020524
0.235000;0.172600;0.086400;1.004972;1.000000;1.021783
0.241667;0.172600;0.086400;1.004971;1.000000;1.021782
0.251667;0.172600;0.086400;1.004971;1.000000;1.021782
0.261667;0.172600;0.086400;1.004971;1.000000;1.021782
0.271667;0.172600;0.086400;1.004971;1.000000;1.021782
0.281667;0.172600;0.086400;1.004971;1.000000;1.021782
0.291667;0.172600;0.086400;1.004971;1.000000;1.021782
0.301667;0.172600;0.086400;1.004971;1.000000;1.021782
0.311667;0.172600;0.086400;1.004971;1.000000;1.021782
0.321667;0.172600;0.086400;1.004971;1.000000;1.021782
0.331667;0.172600;0.086400;1.004971;1.000000;1.021782
0.341667;0.172600;0.086400;1.004971;1.000000;1.021782
0.351667;0.172600;0.086400;1.004971;1.000000;1.021782
0.361667;0.172600;0.086400;1.004971;1.000000;1.021782
0.371667;0.172600;0.086400;1.004971;1.000000;1.021782
0.381667;0.172600;0.086400;1.004971;1.000000;1.021782
0.391667;0.172600;0.086400;1.004971;1.000000;1.021782
0.401667;0.172600;0.086400;1.004971;1.000000;1.021782
0.411667;0.172600;0.086400;1.004971;1.000000;1.021782
0.421667;0.172600;0.086400;1.004971;1.000000;1.021782
0.431667;0.172600;0.086400;1.004971;1.000000;1.021782
0.441667;0.172600;0.086400;1.004971;1.000000;1.021782
0.451667;0.172600;0.086400;1.004971;1.000000;1.021782
0.461667;0.172600;0.086400;1.004971;1.000000;1.021782
0.471667;0.172600;0.086400;1.004971;1.000000;1.021782
0.481667;0.172600;0.086400;1.004971;1.000000;1.021782
0.491667;0.172600;0.086400;1.004971;1.000000;1.021782
0.501667;0.172600;0.086400;1.004971;1.000000;1.021782
0.511667;0.172600;0.086400;1.004971;1.000000;1.021782
0.521667;0.172600;0.086400;1.004971;1.000000;1.021782
0.531667;0.172600;0.086400;1.004971;1.000000;1.021782
0.541667;0.172600;0.086400;1.004971;1.000000;1.021782
0.551667;0.172600;0.086400;1.004971;1.000000;1.021782
0.561667;0.172600;0.086400;1.004971;1.000000;1.021782
0.571667;0.172600;0.086400;1.004971;1.000000;1.021782
0.581667;0.172600;0.086400;1.004971;1.000000;1.021782
0.591667;0.172600;0.086400;1.004971;1.000000;1.021782
0.601667;0.172600;0.086400;1.004971;1.000000;1.021782
0.611667;0.172600;0.086400;1.004971;1.000000;1.021782
0.621667;0.172600;0.086400;1.004971;1.000000;1.021782
0.631667;0.172600;0.086400;1.004971;1.000000;1.021782
0.641667;0.172600;0.086400;1.004971;1.000000;1.021782
0.651667;0.172600;0.086400;1.004971;1.000000;1.021782
0.661667;0.172600;0.086400;1.004971;1.000000;1.021782
0.671667;0.172600;0.086400;1.004971;1.000000;1.021782
0.681667;0.172600;0.086400;1.004971;1.000000;1.021782
0.691667;0.172600;0.086400;1.004971;1.000000;1.021782
0.701667;0.172600;0.086400;1.004971;1.000000;1.021782
0.711667;0.172600;0.086400;1.004971;1.000000;1.021782
0.721667;0.172600;0.086400;1.004971;1.000000;1.021782
0.731667;0.172600;0.086400;1.004971;1.000000;1.021782
0.741667;0.172600;0.086400;1.004971;1.000000;1.021782
0.751667;0.172600;0.086400;1.004971;1.000000;1.021782
0.761667;0.172600;0.086400;1.004971;1.000000;1.021782
0.771667;0.172600;0.086400;1.004971;1.000000;1.021782
0.781667;0.172600;0.086400;1.004971;1.000000;1.021782
0.791667;0.172600;0.086400;1.004971;1.000000;1.021782
0.801667;0.172600;0.086400;1.004971;1.000000;1.021782
0.811667;0.172600;0.086400;1.004971;1.000000;1.021782
0.821667;0.172600;0.086400;1.004971;1.000000;1.021782
0.831667;0.172600;0.086400;1.004971;1.000000;1.021782
0.841667;0.172600;0.086400;1.004971;1.000000;1.021782
0.851667;0.172600;0.086400;1.004971;1.000000;1.021782
0.861667;0.172600;0.086400;1.004971;1.000000;1.021782
0.871667;0.172600;0.086400;1.004971;1.000000;1.021782
0.881667;0.172600;0.086400;1.004971;1.000000;1.021782
0.891667;0.172600;0.086400;1.004971;1.000000;1.021782
0.901667;0.172600;0.086400;1.004971;1.000000;1.021782
0.911667;0.172600;0.086400;1.004971;1.000000;1.021782
0.921667;0.172600;0.086400;1.004971;1.000000;1.021782
0.931667;0.172600;0.086400;1.004971;1.000000;1.021782
0.941667;0.172600;0.086400;1.004971;1.000000;1.021782
0.951667;0.172600;0.086400;1.004971;1.000000;1.021782
0.961667;0.172600;0.086400;1.004971;1.000000;1.021782
0.971667;0.172600;0.086400;1.004971;1.000000;1.021782
0.981667;0.172600;0.086400;1.004971;1.000000;1.021782
0.991667;0.172600;0.086400;1.004971;1.000000;1.021782
1.001667;0.172600;0.086400;1.004971;1.000000;1.021782
1.011667;0.172600;0.086400;1.004971;1.000000;1.021782
1.021667;0.172600;0.086400;1.004971;1.000000;1.021782
1.031667;0.172600;0.086400;1.004971;1.000000;1.021782
1.041667;0.172600;0.086400;1.004971;1.000000;1.021782
1.051667;0.172600;0.086400;1.004971;1.000000;1.021782
1.061667;0.172600;0.086400;1.004971;1.000000;1.021782
1.071667;0.172600;0.086400;1.004971;1.000000;1.021782
1.081667;0.172600;0.086400;1.004971;1.000000;1.021782
1.091667;0.172600;0.086400;1.004971;1.000000;1.021782
1.101667;0.172600;0.086400;1.004971;1.000000;1.021782
1.111667;0.172600;0.086400;1.004971;1.000000;1.021782
1.121667;0.172600;0.086400;1.004971;1.000000;1.021782
1.131667;0.172600;0.086400;1.004971;1.000000;1.021782
1.141667;0.172600;0.086400;1.004971;1.000000;1.021782
1.151667;0.172600;0.086400;1.004971;1.000000;1.021782
1.161667;0.172600;0.086400;1.004971;1.000000;1.021782
1.171667;0.172600;0.086400;1.004971;1.000000;1.021782
1.181667;0.172600;0.086400;1.004971;1.000000;1.021782
1.191667;0.172600;0.086400;1.004971;1.000000;1.021782
1.201667;0.172600;0.086400;1.004971;1.000000;1.021782
1.211667;0.172600;0.086400;1.004971;1.000000;1.021782
1.221667;0.172600;0.086400;1.004971;1.000000;1.021782
1.231667;0.172600;0.086400;1.004971;1.000000;1.021782
1.241667;0.172600;0.086400;1.004971;1.000000;1.021782
1.251667;0.172600;0.086400;1.004971;1.000000;1.021782
1.261667;0.172600;0.086400;1.004971;1.000000;1.021782
1.271667;0.172600;0.086400;1.004971;1.000000;1.021782
1.281667;0.172600;0.086400;1.004971;1.000000;1.021782
1.291667;0.172600;0.086400;1.004971;1.000000;1.021782
1.301667;0.172600;0.086400;1.004971;1.000000;1.021782
1.311667;0.172600;0.086400;1.004971;1.000000;1.021782
1.321667;0.172600;0.086400;1.004971;1.000000;1.021782
1.331667;0.172600;0.086400;1.004971;1.000000;1.021782
1.341667;0.172600;0.086400;1.004971;1.000000;1.021782
1.351667;0.172600;0.086400;1.004971;1.000000;1.021782
1.361667;0.172600;0.086400;1.004971;1.000000;1.021782
1.371667;0.172600;0.086400;1.004971;1.000000;1.021782
1.381667;0.172600;0.086400;1.004971;1.000000;1.021782
1.391667;0.172600;0.086400;1.004971;1.000000;1.021782
1.401667;0.172600;0.086400;1.004971;1.000000;1.021782
1.411667;0.172600;0.086400;1.004971;1.000000;1.021782
1.421667;0.172600;0.086400;1.004971;1.000000;1.021782
1.431667;0.172600;0.086400;1.004971;1.000000;1.021782
1.441667;0.172600;0.086400;1.004971;1.000000;1.021782
1.451667;0.172600;0.086400;1.004971;1.000000;1.021782
1.461667;0.172600;0.086400;1.004971;1.000000;1.021782
1.471667;0.172600;0.086400;1.004971;1.000000;1.021782
1.481667;0.172600;0.086400;1.004971;1.000000;1.021782
1.491667;0.172600;0.086400;1.004971;1.000000;1.021782
1.501667;0.172600;0.086400;1.004971;1.000000;1.021782
1.511667;0.172600;0.086400;1.004971;1.000000;1.021782
1.521667;0.172600;0.086400;1.004971;1.000000;1.021782
1.531667;0.172600;0.086400;1.004971;1.000000;1.021782
1.541667;0.172600;0.086400;1.004971;1.000000;1.021782
1.551667;0.172600;0.086400;1.004971;1.000000;1.021782
1.561667;0.172600;0.086400;1.004971;1.000000;1.021782
1.571667;0.172600;0.086400;1.004971;1.000000;1.021782
1.581667;0.172600;0.086400;1.004971;1.000000;1.021782
1.591667;0.172600;0.086400;1.004971;1.000000;1.021782
1.601667;0.172600;0.086400;1.004971;1.000000;1.021782
1.611667;0.172600;0.086400;1.004971;1.000000;1.021782
1.621667;0.172600;0.086400;1.004971;1.000000;1.021782
1.631667;0.172600;0.086400;1.004971;1.000000;1.021782
1.641667;0.172600;0.086400;1.004971;1.000000;1.021782
1.651667;0.172600;0.086400;1.004971;1.000000;1.021782
1.661667;0.172600;0.086400;1.004971;1.000000;1.021782
1.671667;0.172600;0.086400;1.004971;1.000000;1.021782
1.681667;0.172600;0.086400;1.004971;1.000000;1.021782
1.691667;0.172600;0.086400;1.004971;1.000000;1.021782
1.701667;0.172600;0.086400;1.004971;1.000000;1.021782
1.711667;0.172600;0.086400;1.004971;1.000000;1.021782
1.721667;0.172600;0.086400;1.004971;1.000000;1.021782
1.731667;0.172600;0.086400;1.004971;1.000000;1.021782
1.741667;0.172600;0.086400;1.004971;1.000000;1.021782
1.751667;0.172600;0.086400;1.004971;1.000000;1.021782
1.761667;0.172600;0.086400;1.004971;1.000000;1.021782
1.771667;0.172600;0.086400;1.004971;1.000000;1.021782
1.781667;0.172600;0.086400;1.004971;1.000000;1.021782
1.791667;0.172600;0.086400;1.004971;1.000000;1.021782
1.801667;0.172600;0.086400;1.004971;1.000000;1.021782
1.811667;0.172600;0.086400;1.004971;1.000000;1.021782
1.821667;0.172600;0.086400;1.004971;1.000000;1.021782
1.831667;0.172600;0.086400;1.004971;1.000000;1.021782
1.841667;0.172600;0.086400;1.004971;1.000000;1.021782
1.851667;0.172600;0.086400;1.004971;1.000000;1.021782
1.861667;0.172600;0.086400;1.004971;1.000000;1.021782
1.871667;0.172600;0.086400;1.004971;1.000000;1.021782
1.881667;0.172600;0.086400;1.004971;1.000000;1.021782
1.891667;0.172600;0.086400;1.004971;1.000000;1.021782
1.901667;0.172600;0.086400;1.004971;1.000000;1.021782
1.911667;0.172600;0.086400;1.004971;1.000000;1.021782
1.921667;0.172600;0.086400;1.004971;1.000000;1.021782
1.931667;0.172600;0.086400;1.004971;1.000000;1.021782
1.941667;0.172600;0.086400;1.004971;1.000000;1.021782
1.951667;0.172600;0.086400;1.004971;1.000000;1.021782
1.961667;0.172600;0.086400;1.004971;1.000000;1.021782
1.971667;0.172600;0.086400;1.004971;1.000000;1.021782
1.981667;0.172600;0.086400;1.004971;1.000000;1.021782
1.991667;0.172600;0.086400;1.004971;1.000000;1.021782
2.001667;0.172600;0.086400;1.004971;1.000000;1.021782
2.011667;0.172600;0.086400;1.004971;1.000000;1.021782
2.021667;0.172600;0.086400;1.004971;1.000000;1.021782
2.031667;0.172600;0.086400;1.004971;1.000000;1.021782
2.041667;0.172600;0.086400;1.004971;1.000000;1.021782
2.051667;0.172600;0.086400;1.004971;1.000000;1.021782
2.061667;0.172600;0.086400;1.004971;1.000000;1.021782
2.071667;0.172600;0.086400;1.004971;1.000000;1.021782
2.081667;0.172600;0.086400;1.004971;1.000000;1.021782
2.091667;0.172600;0.086400;1.004971;1.000000;1.021782
2.101667;0.172600;0.086400;1.004971;1.000000;1.021782
2.111667;0.172600;0.086400;1.004971;1.000000;1.021782
2.121667;0.172600;0.086400;1.004971;1.000000;1.021782
2.131667;0.172600;0.086400;1.004971;1.000000;1.021782
2.141667;0.172600;0.086400;1.004971;1.000000;1.021782
2.151667;0.172600;0.086400;1.004971;1.000000;1.021782
2.161667;0.172600;0.086400;1.004971;1.000000;1.021782
2.171667;0.172600;0.086400;1.004971;1.000000;1.021782
2.181667;0.172600;0.086400;1.004971;1.000000;1.021782
2.191667;0.172600;0.086400;1.004971;1.000000;1.021782
2.201667;0.172600;0.086400;1.004971;1.000000;1.021782
2.211667;0.172600;0.086400;1.004971;1.000000;1.021782
2.221667;0.172600;0.086400;1.004971;1.000000;1.021782
2.231667;0.172600;0.086400;1.004971;1.000000;1.021782
2.241667;0.172600;0.086400;1.004971;1.000000;1.021782
2.251667;0.172600;0.086400;1.004971;1.000000;1.021782
2.261667;0.172600;0.086400;1.004971;1.000000;1.021782
2.271667;0.172600;0.086400;1.004971;1.000000;1.021782
2.281667;0.172600;0.086400;1.004971;1.000000;1.021782
2.291667;0.172600;0.086400;1.004971;1.000000;1.021782
2.301667;0.172600;0.086400;1.004971;1.000000;1.021782
2.311667;0.172600;0.086400;1.004971;1.000000;1.021782
2.321667;0.172600;0.086400;1.004971;1.000000;1.021782
2.331667;0.172600;0.086400;1.004971;1.000000;1.021782
2.341667;0.172600;0.086400;1.004971;1.000000;1.021782
2.351667;0.172600;0.086400;1.004971;1.000000;1.021782
2.361667;0.172600;0.086400;1.004971;1.000000;1.021782
2.371667;0.172600;0.086400;1.004971;1.000000;1.021782
2.381667;0.172600;0.086400;1.004971;1.000000;1.021782
2.391667;0.172600;0.086400;1.004971;1.000000;1.021782
2.401667;0.172600;0.086400;1.004971;1.000000;1.021782
2.411667;0.172600;0.086400;1.004971;1.000000;1.021782
2.421667;0.172600;0.086400;1.004971;1.000000;1.021782
2.431667;0.172600;0.086400;1.004971;1.000000;1.021782
2.441667;0.172600;0.086400;1.004971;1.000000;1.021782
2.451667;0.172600;0.086400;1.004971;1.000000;1.021782
2.461667;0.172600;0.086400;1.004971;1.000000;1.021782
2.471667;0.172600;0.086400;1.004971;1.000000;1.021782
2.481667;0.172600;0.086400;1.004971;1.000000;1.021782
2.491667;0.172600;0.086400;1.004971;1.000000;1.021782
2.501667;0.172600;0.086400;1.004971;1.000000;1.021782
2.511667;0.172600;0.086400;1.004971;1.000000;1.021782
2.521667;0.172600;0.086400;1.004971;1.000000;1.021782
2.531667;0.172600;0.086400;1.004971;1.000000;1.021782
2.541667;0.172600;0.086400;1.004971;1.000000;1.021782
2.551667;0.172600;0.086400;1.004971;1.000000;1.021782
2.561667;0.172600;0.086400;1.004971;1.000000;1.021782
2.571667;0.172600;0.086400;1.004971;1.000000;1.021782
2.581667;0.172600;0.086400;1.004971;1.000000;1.021782
2.591667;0.172600;0.086400;1.004971;1.000000;1.021782
2.601667;0.172600;0.086400;1.004971;1.000000;1.021782
2.611667;0.172600;0.086400;1.004971;1.000000;1.021782
2.621667;0.172600;0.086400;1.004971;1.000000;1.021782
2.631667;0.172600;0.086400;1.004971;1.000000;1.021782
2.641667;0.172600;0.086400;1.004971;1.000000;1.021782
2.651667;0.172600;0.086400;1.004971;1.000000;1.021782
2.661667;0.172600;0.086400;1.004971;1.000000;1.021782
2.671667;0.172600;0.086400;1.004971;1.000000;1.021782
2.681667;0.172600;0.086400;1.004971;1.000000;1.021782
2.691667;0.172600;0.086400;1.004971;1.000000;1.021782
2.701667;0.172600;0.086400;1.004971;1.000000;1.021782
2.711667;0.172600;0.086400;1.004971;1.000000;1.021782
2.721667;0.172600;0.086400;1.004971;1.000000;1.021782
2.731667;0.172600;0.086400;1.004971;1.000000;1.021782
2.741667;0.172600;0.086400;1.004971;1.000000;1.021782
2.751667;0.172600;0.086400;1.004971;1.000000;1.021782
2.761667;0.172600;0.086400;1.004971;1.000000;1.021782
2.771667;0.172600;0.086400;1.004971;1.000000;1.021782
2.781667;0.172600;0.086400;1.004971;1.000000;1.021782
2.791667;0.172600;0.086400;1.004971;1.000000;1.021782
2.801667;0.172600;0.086400;1.004971;1.000000;1.021782
2.811667;0.172600;0.086400;1.004971;1.000000;1.021782
2.821667;0.172600;0.086400;1.004971;1.000000;1.021782
2.831667;0.172600;0.086400;1.004971;1.000000;1.021782
2.841667;0.172600;0.086400;1.004971;1.000000;1.021782
2.851667;0.172600;0.086400;1.004971;1.000000;1.021782
2.861667;0.172600;0.086400;1.004971;1.000000;1.021782
2.871667;0.172600;0.086400;1.004971;1.000000;1.021782
2.881667;0.172600;0.086400;1.004971;1.000000;1.021782
2.891667;0.172600;0.086400;1.004971;1.000000;1.021782
2.901667;0.172600;0.086400;1.004971;1.000000;1.021782
2.911667;0.172600;0.086400;1.004971;1.000000;1.021782
2.921667;0.172600;0.086400;1.004971;1.000000;1.021782
2.931667;0.172600;0.086400;1.004971;1.000000;1.021782
2.941667;0.172600;0.086400;1.004971;1.000000;1.021782
2.951667;0.172600;0.086400;1.004971;1.000000;1.021782
2.961667;0.172600;0.086400;1.004971;1.000000;1.021782
2.971667;0.172600;0.086400;1.004971;1.000000;1.021782
2.981667;0.172600;0.086400;1.004971;1.000000;1.021782
2.991667;0.172600;0.086400;1.004971;1.000000;1.021782
3.001667;0.172600;0.086400;1.004971;1.000000;1.021782
3.011667;0.172600;0.086400;1.004971;1.000000;1.021782
3.021667;0.172600;0.086400;1.004971;1.000000;1.021782
3.031667;0.172600;0.086400;1.004971;1.000000;1.021782
3.041667;0.172600;0.086400;1.004971;1.000000;1.021782
3.051667;0.172600;0.086400;1.004971;1.000000;1.021782
